"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U6";"NodeMCU1.0(12-E)";1;"NodeMCU_1.0_(ESP-12E)";;;
2;"C2,C3,C4,C8,C5,C1";"C_Disc_D3.0mm_W2.0mm_P2.50mm";6;"100nF";;;
3;"R9";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"10K";;;
4;"R7,R5,R6,R4,R8,R3,R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";8;"560R";;;
5;"H4,H3,H1,H6,H2,H5";"MountingHole_3.2mm_M3";6;"MountingHole";;;
6;"U1";"DIP-20_W7.62mm";1;"74HC245";;;
7;"P1";"IDC-Header_2x05_P2.54mm_Vertical";1;"CONN_02X05";;;
8;"D5,D8,D4,D2,D7,D1,D6,D3";"LED_D3.0mm";8;"TLPR5600";;;
9;"C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
10;"U4";"TO-92L_Inline_Wide";1;"LP2950ACZ-3.3";;;
11;"CON1";"BarrelJack_Horizontal";1;"BARREL_JACK";;;
12;"U2";"DIP-16_W7.62mm";1;"MAX3232";;;
13;"U3";"DIP-14_W7.62mm";1;"74HC32";;;
14;"C7";"C_Disc_D3.0mm_W2.0mm_P2.50mm";1;"1uF";;;
