Ref,Qnty,Value,Description,Vendor
"C1, C2, C3, C4, C5, C8, ",6,100nF,"Unpolarized capacitor, small symbol",
"C6, ",1,100nF,"Unpolarized capacitor, small symbol",
"C7, ",1,1uF,"Unpolarized capacitor, small symbol",
"CON1, ",1,BARREL_JACK,DC Barrel Jack with an internal switch,
"D1, D2, D3, D4, D5, D6, D7, D8, ",8,TLPR5600,Light emitting diode,
"H1, H2, H3, H4, H5, H6, ",6,MountingHole,Mounting Hole without connection,
"P1, ",1,CONN_02X05,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
"R1, R2, R3, R4, R5, R6, R7, R8, ",8,560R,Resistor,
"R9, ",1,10K,Resistor,
"U1, ",1,74HC245,"Octal BUS Transceivers, 3-State outputs",
"U2, ",1,MAX3232,"Dual RS232 driver/receiver, 5V supply, 120kb/s, 0C-70C",
"U3, ",1,74HC32,Quad 2-input OR,
"U4, ",1,LP2950ACZ-3.3,"Positive 100mA 30V Linear Micropower Voltage Regulator, Fixed Output 3.3V, TO-92",
"U6, ",1,NodeMCU_1.0_(ESP-12E),,
